Date,CodeProduit,Pays,sales_number
2023-11-13,1x,france,2.0
2023-11-13,dsmlt,france,0.0
2023-11-13,3x,irlande,0.0
2023-11-13,smlt,italie,0.0
2023-11-13,2 trans,USA,0.0
2023-11-13,lot,pays-bas,0.0
2023-11-13,smlt,grèce,0.0
2023-11-13,dsmlt,royaume-uni,0.0
2023-11-13,smlt,canada,1.0
2023-11-13,3x,australie,0.0
2023-11-13,dsmlt,allemagne,0.0
2023-11-13,smlt,france,0.0
2023-11-13,3x,USA,2.0
2023-11-13,3x,allemagne,0.0
2023-11-13,3x,france,0.0
2023-11-13,lot,USA,0.0
2023-11-13,smlt,USA,0.0
2023-11-13,3x,royaume-uni,0.0
2023-11-13,smlt,espagne,0.0
2023-11-13,2x,belgique,0.0
2023-11-13,dsmlt,chypre,0.0
2023-11-13,smlt,chypre,0.0
2023-11-13,dsmlt,danemark,0.0
2023-11-13,moulin,france,0.0
2023-11-13,rge,belgique,0.0
2023-11-13,1x,USA,1.0
2023-11-13,dsmlt,hong kong,0.0
2023-11-13,smlt,hong kong,0.0
2023-11-13,rge,royaume-uni,0.0
2023-11-13,1x,italie,0.0
2023-11-13,1x,belgique,0.0
2023-11-13,lot,grèce,0.0
2023-11-13,2x,france,0.0
2023-11-13,rge,france,0.0
2023-11-13,bag,france,0.0
2023-11-13,dsmlt,italie,0.0
2023-11-13,2x,malte,0.0
2023-11-13,3x,espagne,0.0
2023-11-13,2 trans,belgique,0.0
2023-11-13,2 trans,royaume-uni,0.0
2023-11-13,lot,united kingdom,0.0
2023-11-13,lot,italie,0.0
2023-11-13,3x,italie,0.0
2023-11-13,dsmlt,espagne,0.0
2023-11-13,oliv,france,0.0
2023-11-13,smlt,belgique,0.0
2023-11-13,rge,chili,0.0
2023-11-13,rge,autriche,0.0
2023-11-13,rge,norvège,0.0
2023-11-13,rge,USA,1.0
2023-11-13,smlt,malte,0.0
2023-11-13,3x,belgique,0.0
2023-11-13,1x,royaume-uni,0.0
2023-11-13,2x,USA,0.0
2023-11-13,1x,irlande,0.0
2023-11-13,dsmlt,emirats arabes unis,0.0
2023-11-13,1x,malte,0.0
2023-11-13,1x,allemagne,0.0
2023-11-13,bag,canada,0.0
2023-11-13,3x,croatie,0.0
2023-11-13,lot,australie,0.0
2023-11-13,2 trans,italie,0.0
2023-11-13,3x,suède,0.0
2023-11-13,2 trans,irlande,0.0
2023-11-13,2 trans,allemagne,0.0
2023-11-13,smlt,république tchèque,0.0
2023-11-13,1x,espagne,0.0
2023-11-13,smlt,hongrie,0.0
2023-11-13,2x,chypre,0.0
2023-11-13,2x,qatar,0.0
2023-11-13,lot,allemagne,0.0
2023-11-13,dsmlt,grèce,0.0
2023-11-13,dsmlt,irlande,0.0
2023-11-13,lot,irlande,0.0
